Class,Confidence,X,Y,Width,Height,Timestamp
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,299,122,541,418
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,272,129,495,428
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,252,131,458,433
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,231,129,441,439
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,229,124,439,445
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,250,136,458,433
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,255,127,487,426
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,297,131,524,422
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,338,135,565,418
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,376,116,584,426
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,381,102,619,444
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,372,119,587,429
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,302,141,520,420
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,264,131,490,417
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,262,116,462,439
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,257,123,469,425
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,285,119,492,419
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,314,99,539,396
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,359,113,584,418
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,393,109,620,425
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,404,103,630,431
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,404,112,624,424
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,345,120,567,414
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,307,126,534,410
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,294,124,509,413
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,282,112,485,417
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,277,112,480,418
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,280,108,480,424
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,285,108,489,423
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,298,120,498,415
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,300,120,511,413
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,315,108,511,423
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,308,109,517,423
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,302,115,516,424
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,296,118,502,423
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,281,119,488,419
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,271,120,480,423
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,277,118,478,422
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,281,122,496,419
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,303,131,515,415
